Arrest,"United
States
total",Northeast,Midwest,South,West,,,
Total_Sale_Manufacturing,18.2,21.8,19.4,17.3,16.6,,,
Heroin_or_cocaine_and_their_derivatives_Sale_Manufacturing,6.3,11.5,4.3,5.8,4.8,,,
Marijuana_Sale_Manufacturing,6.2,6.5,9.2,5,5.7,,,
Synthetic_or_manufactured_drugs_Sale_Manufacturing,1.8,1.6,1.4,3,0.6,,,_
Other_dangerous_nonnarcotic_drugs_Sale_Manufacturing,4,2.2,4.4,3.4,5.6,,,
Total_Possession,81.8,78.2,80.6,82.7,83.4,,,
Heroin_or_cocaine_and_their_derivatives_Possession,16.7,16.6,10.4,14.4,23.9,,,
Marijuana_Possession,43.3,48.5,52.1,51.3,23.5,,,
Synthetic_or_manufactured_drugs_Possession,4.6,3.2,4.8,6,3.4,,,
Other_dangerous_nonnarcotic_drugs_Possession,17.2,9.9,13.3,11.1,32.6,,,
