Arrest,"United
States
total",Northeast,Midwest,South,West,,,
Total_Sale_Manufacturing,18.1,22.3,19.6,17.8,15.4,,,
Heroin_or_cocaine_and_their_derivatives_Sale_Manufacturing,6.2,12,4.1,6,4.3,,,
Marijuana_Sale_Manufacturing,6.3,6.8,9.6,5.4,5.5,,,
Synthetic_or_manufactured_drugs_Sale_Manufacturing,1.8,1.6,1.5,3.1,0.6,,,_
Other_dangerous_nonnarcotic_drugs_Sale_Manufacturing,3.7,2,4.3,3.3,5,,,
Total_Possession,81.9,77.7,80.4,82.2,84.6,,,
Heroin_or_cocaine_and_their_derivatives_Possession,16.4,16.6,10,14.9,21.3,,,
Marijuana_Possession,45.8,48.3,53.9,51.5,33.5,,,
Synthetic_or_manufactured_drugs_Possession,4.1,2.9,4.3,5.5,2.8,,,
Other_dangerous_nonnarcotic_drugs_Possession,15.7,9.8,12.3,10.3,27.1,,,
