Arrest,"United
States
total",Northeast,Midwest,South,West,Parent,,
Orign,,,,,,,,
Total_Sale_Manufacturing,16.1,19.9,15.9,16.6,13.4,Origin,,
Heroin_or_cocaine_and_their_derivatives_Sale_Manufacturing,5.5,10.9,3.7,5.1,4,Total_Sale_Manufacturing,,
Marijuana_Sale_Manufacturing,4.6,5.2,6.3,4,3.7,Total_Sale_Manufacturing,,_
Synthetic_or_manufactured_drugs_Sale_Manufacturing,1.8,1.5,1.1,3.4,0.5,Total_Sale_Manufacturing,,
Other_dangerous_nonnarcotic_drugs_Sale_Manufacturing,4.2,2.3,4.7,4.1,5.2,Total_Sale_Manufacturing,,
Total_Possession,83.9,80.1,84.1,83.4,86.6,Origin,,
Heroin_or_cocaine_and_their_derivatives_Possession,19.9,18,10.9,14.7,33.5,Total_Possession,,
Marijuana_Possession,38.6,46.1,50.7,46.5,16.5,Total_Possession,,
Synthetic_or_manufactured_drugs_Possession,5.1,3.5,5.2,7.6,2.8,Total_Possession,,
Other_dangerous_nonnarcotic_drugs_Possession,20.2,12.6,17.3,14.7,33.8,Total_Possession,,
