Arrest,"United
States
total",Northeast,Midwest,South,West,,,
Total_Sale_Manufacturing,14.6,20.3,13.9,15.7,10.2,,,
Heroin_or_cocaine_and_their_derivatives_Sale_Manufacturing,5.2,11.6,3.5,4.5,3.7,,,
Marijuana_Sale_Manufacturing,3.7,5.3,5.3,3.8,1.7,,,
Synthetic_or_manufactured_drugs_Sale_Manufacturing,1.6,1.5,0.9,3,0.4,,,_
Other_dangerous_nonnarcotic_drugs_Sale_Manufacturing,4,2,4.3,4.3,4.5,,,
Total_Possession,85.4,79.7,86.1,84.3,89.8,,,
Heroin_or_cocaine_and_their_derivatives_Possession,20.6,22.2,12.2,14,34.5,,,
Marijuana_Possession,36.7,44.3,48.1,44.9,13.6,,,
Synthetic_or_manufactured_drugs_Possession,4.8,3.7,5.2,6.8,2.5,,,
Other_dangerous_nonnarcotic_drugs_Possession,23.3,9.4,20.6,18.7,39.1,,,
